"id","Date","Open","High","Low","Close","AdjClose","Volume","Symbol"
"1","2013-03-11","3.17","3.19","3.15","3.18","2.95","29974800","NVDA"
"2","2013-03-12","3.17","3.2","3.14","3.19","2.96","31085600","NVDA"
"3","2013-03-13","3.19","3.24","3.16","3.19","2.96","48584000","NVDA"
"4","2013-03-14","3.21","3.22","3.17","3.19","2.96","38330400","NVDA"
"5","2013-03-15","3.19","3.19","3.15","3.16","2.94","35577600","NVDA"
"6","2013-03-18","3.14","3.17","3.12","3.14","2.92","29831200","NVDA"
"7","2013-03-19","3.14","3.16","3.1","3.12","2.9","35548000","NVDA"
"8","2013-03-20","3.15","3.17","3.12","3.16","2.93","34058800","NVDA"
"9","2013-03-21","3.14","3.14","3.1","3.11","2.89","33903200","NVDA"
"10","2013-03-22","3.12","3.13","3.1","3.12","2.9","23247600","NVDA"
"11","2013-03-25","3.14","3.14","3.08","3.1","2.88","36207600","NVDA"
"12","2013-03-26","3.11","3.13","3.1","3.13","2.9","23254000","NVDA"
"13","2013-03-27","3.11","3.18","3.11","3.16","2.94","25494400","NVDA"
"14","2013-03-28","3.16","3.21","3.13","3.21","2.98","34927600","NVDA"
"15","2013-04-01","3.2","3.2","3.08","3.1","2.88","44282800","NVDA"
"16","2013-04-02","3.11","3.11","3.05","3.07","2.85","37152400","NVDA"
"17","2013-04-03","3.07","3.08","3.01","3.03","2.82","35315600","NVDA"
"18","2013-04-04","3.02","3.07","3.01","3.06","2.85","29467600","NVDA"
"19","2013-04-05","3.02","3.12","3.01","3.12","2.89","55135200","NVDA"
"20","2013-04-08","3.12","3.12","3.05","3.11","2.89","32666000","NVDA"
"21","2013-04-09","3.11","3.18","3.09","3.16","2.93","38058400","NVDA"
"22","2013-04-10","3.16","3.21","3.15","3.21","2.98","38468800","NVDA"
"23","2013-04-11","3.16","3.21","3.08","3.19","2.97","96922000","NVDA"
"24","2013-04-12","3.21","3.31","3.18","3.27","3.04","77054800","NVDA"
"25","2013-04-15","3.26","3.27","3.19","3.21","2.98","43042000","NVDA"
"26","2013-04-16","3.24","3.26","3.22","3.24","3.01","46884400","NVDA"
"27","2013-04-17","3.22","3.25","3.18","3.2","2.97","53294800","NVDA"
"28","2013-04-18","3.21","3.23","3.14","3.14","2.91","40254800","NVDA"
"29","2013-04-19","3.13","3.15","3.09","3.14","2.92","30302800","NVDA"
"30","2013-04-22","3.14","3.18","3.12","3.15","2.92","24556800","NVDA"
"31","2013-04-23","3.18","3.26","3.17","3.23","3","37694800","NVDA"
"32","2013-04-24","3.24","3.37","3.24","3.34","3.1","55655600","NVDA"
"33","2013-04-25","3.36","3.38","3.33","3.37","3.13","35322400","NVDA"
"34","2013-04-26","3.36","3.37","3.34","3.35","3.12","32433200","NVDA"
"35","2013-04-29","3.36","3.41","3.34","3.39","3.15","26971200","NVDA"
